Date,Recip_County,Recip_State,Administered_Dose1_Pop_Pct,Series_Complete_Pop_Pct,Metro_status
2022-03-10,Mason County,IL,56.7,53.5,Non-metro
2022-03-10,Phelps County,NE,0,39.5,Non-metro
2022-03-10,Morton County,ND,52.2,44.8,Metro
2022-03-10,Nemaha County,NE,50.2,49.8,Non-metro
2022-03-10,Barber County,KS,52.3,46.6,Non-metro
2022-03-10,Douglas County,SD,62.3,51.4,Non-metro
2022-03-10,Camden County,MO,51.9,45.1,Non-metro
2022-03-10,Dickinson County,KS,65,55.7,Non-metro
2022-03-10,Webster County,MO,47.9,42.1,Metro
2022-03-10,Alcona County,MI,59.5,58,Non-metro
2022-03-10,Crawford County,MI,52.3,50.8,Non-metro
2022-03-10,Antelope County,NE,0,36.9,Non-metro
2022-03-10,Highland County,OH,40.7,37.6,Non-metro
2022-03-10,Ford County,IL,61.4,57.4,Metro
2022-03-10,Clay County,IL,41,38.3,Non-metro
2022-03-10,Montgomery County,MO,54.7,48.2,Non-metro
2022-03-10,Greene County,MO,56.2,48.8,Metro
2022-03-10,Big Stone County,MN,66.8,62.8,Non-metro
2022-03-10,Trumbull County,OH,58.8,54.3,Metro
2022-03-10,Brown County,IL,60.1,53.1,Non-metro
2022-03-10,Macon County,MO,44.4,39.8,Non-metro
2022-03-10,Barton County,MO,38,32.9,Non-metro
2022-03-10,Pierce County,WI,49.3,43.7,Metro
2022-03-10,Pemiscot County,MO,39.7,31,Non-metro
2022-03-10,Shawnee County,KS,69.7,61,Metro
2022-03-10,Stevens County,MN,60.9,57.5,Non-metro
2022-03-10,Dixon County,NE,0,43.5,Metro
2022-03-10,Grundy County,MO,40.4,35,Non-metro
2022-03-10,Fayette County,OH,46.4,43.2,Non-metro
2022-03-10,Ford County,KS,52.4,44.2,Non-metro
2022-03-10,Miami County,OH,50.2,47.4,Metro
2022-03-10,Bayfield County,WI,90.8,81.4,Non-metro
2022-03-10,Wood County,WI,66.9,61.2,Non-metro
2022-03-10,Ontonagon County,MI,73.8,68.6,Non-metro
2022-03-10,Grand Traverse County,MI,69.9,67.1,Non-metro
2022-03-10,Osborne County,KS,45.4,41.7,Non-metro
2022-03-10,Pettis County,MO,48.9,42.3,Non-metro
2022-03-10,Dickinson County,IA,64.2,57.8,Non-metro
2022-03-10,Greeley County,KS,54.5,51.1,Non-metro
2022-03-10,Cheyenne County,KS,50.4,45.5,Non-metro
2022-03-10,Mahoning County,OH,61,56.5,Metro
2022-03-10,Pierce County,ND,49.9,45,Non-metro
